epochs, batch_size, dropout, learning_rate, accuracy,,
300,32,0.7,0.001,87.42038217,,
300,32,0.7,0.002,82.78264331,,
300,32,0.7,0.003,83.34992038,,
300,32,0.7,0.004,81.11066879,,
300,32,0.7,0.005,74.20382166,,
300,32,0.7,0.0009,85.24084395,,
300,32,0.7,0.0008,86.9227707,,
300,32,0.7,0.0007,86.82324841,,
300,32,0.7,0.0006,85.21098726,,
300,32,0.7,0.0005,85.24084395,,
300,32,0.7,0.01,38.17675159,,
300,32,0.6,0.001,89.45063694,,
300,32,0.6,0.002,88.50517516,,
300,32,0.6,0.003,89.00278662,,
300,32,0.6,0.004,85.72850318,,
300,32,0.6,0.005,85.46974522,,
300,32,0.6,0.0009,89.21178344,,
300,32,0.6,0.0008,88.01751592,,
300,32,0.6,0.0007,86.73367834,,
300,32,0.6,0.0006,89.31130573,,
300,32,0.6,0.0005,86.87300955,,
300,32,0.6,0.01,73.22850318,,
300,32,0.9,0.001,59.69347134,,
300,32,0.9,0.002,59.02667197,,
300,32,0.9,0.003,28.22452229,,
300,32,0.9,0.004,27.46815287,,
300,32,0.9,0.005,22.89012739,,
300,32,0.9,0.0009, ,,
